tconst	averageRating	numVotes
tt15411202	7.8	9
tt0153854	5.0	139
tt5900822	5.1	8
tt8690694	8.8	8
tt0920979	7.6	11
tt2925790	5.9	31
tt5155392	8.0	6
tt6011806	6.8	119
tt1047013	8.4	23
tt1188822	7.9	15
tt3499122	8.2	244
tt2724850	8.3	9
tt4521154	7.8	886
tt3975950	8.2	204
tt13262118	8.6	5
tt14164176	7.2	10
tt1512779	7.9	405
tt0617730	7.2	10
tt0366010	8.6	2187
tt7338690	4.6	2855
tt2563918	9.0	9
tt6659624	5.6	257
tt16492770	5.3	10
tt0000488	6.9	817
tt1256428	7.5	166
tt3060098	7.9	10
tt0128546	7.8	17
tt11943716	8.6	58
tt0367091	8.0	34
tt0976008	6.9	288
tt10806564	6.8	6
tt2070807	7.9	18
tt1774087	7.2	89
tt5290990	7.4	6
tt2877464	7.4	10
tt0010571	7.2	12
tt2456494	5.5	21
tt1169777	9.8	54
tt6782146	6.8	20
tt5263222	8.6	153
tt3813018	4.6	90
tt15414362	8.2	24
tt11128090	7.9	1464
tt15103682	6.1	91
tt0033642	5.5	164
tt0040844	3.3	188
tt4494656	7.6	7
tt0314567	6.4	36
tt0355465	6.8	15
tt2402187	7.0	69
tt9204368	7.4	5
tt0261078	7.4	13
tt5699276	6.7	7
tt6407610	8.1	26
tt0310116	7.2	9
tt14143070	6.3	45
tt14773976	4.9	125
tt6077130	9.3	16
tt0874306	4.2	1505
tt0429898	6.3	1913
tt3527656	7.4	7
tt11028828	10.0	5
tt4957490	6.1	11
tt0827551	7.5	51
tt7870592	2.1	27
tt1753877	6.0	58
tt6623496	7.4	293
tt0328478	7.1	24
tt5632330	7.7	9
tt0432711	7.0	33
tt0226673	7.6	11
tt3615586	5.8	15
tt1160729	5.1	14
tt21952094	5.8	6
tt8682664	6.3	197
tt1388820	6.2	48
tt0662123	7.3	67
tt1169164	5.7	40
tt6235174	8.6	15
tt1267505	7.4	9
tt1796528	9.0	8
tt0072256	4.7	15
tt0229508	8.6	7
tt0746636	7.6	26
tt5958520	9.8	17
tt10277744	7.0	7
tt0329538	7.2	32
tt4460068	8.1	273
tt3319242	8.1	285
tt1059737	7.7	18
tt1956324	7.7	238
tt1735671	8.4	41
tt1551617	8.4	40
tt0572536	8.1	110
tt2121145	7.2	40
tt3822108	7.3	7
tt10449112	8.8	28
tt16539600	4.7	80
tt15767136	7.4	24
tt3658310	6.5	46
tt6640444	8.3	101
tt0043182	7.6	137
tt2171427	7.4	155
tt2177117	7.5	47
tt0643162	7.5	18
tt27049903	8.6	85
tt7269310	7.6	5
tt0251093	5.7	155
tt0394105	7.5	295
tt1161263	7.8	16
tt1661910	7.9	11
tt2721352	5.5	26
tt0374374	4.8	26
tt1478330	7.5	67
tt10990768	8.8	16
tt10659186	9.0	14
tt12369030	9.2	11
tt10655788	8.0	91
tt0204824	6.0	6253
tt9739378	7.7	59
tt7385562	9.7	14
tt9244614	6.5	547
tt6183806	7.8	20
tt9867480	7.4	5
tt11576000	7.7	8
tt0345462	8.2	6
tt3109872	7.0	11
tt1773064	3.2	9
tt13369062	8.2	154
tt2621072	6.6	18
tt13444622	8.2	264
tt15876726	7.8	1991
tt7927216	8.7	809
tt0853912	5.1	16
tt5740868	3.3	467
tt8686066	7.6	5
tt21193022	8.2	13
tt0160399	6.1	24065
tt1582828	3.6	10
tt0636416	7.5	23
tt8334880	6.2	21
tt1429930	6.8	15
tt12857548	7.1	22
tt2659998	7.0	10
tt1338421	6.0	5
tt0255112	3.5	1420
tt0851800	7.9	57
tt2592004	7.4	5
tt1094952	7.0	12
tt0372871	7.3	239
tt12063602	8.8	10
tt11628590	5.7	6
tt0694852	6.4	91
tt3867596	5.4	6
tt10514342	8.0	10
tt4020996	8.6	177
tt2399104	7.8	6
tt0612333	5.6	76
tt7154900	8.2	8
tt0261081	7.1	24
tt13003438	7.4	8
tt2251275	4.1	271
tt1400601	6.6	41
tt0790471	7.8	75
tt0035828	6.9	48
tt3210354	6.2	89
tt3958830	6.2	16
tt7470398	7.8	12
tt4922658	6.4	32
tt0201818	7.2	433
tt6943138	8.6	8
tt0036076	6.7	37
tt0461681	8.2	84
tt1735895	8.0	22
tt0216546	4.4	335
tt18286184	7.6	16
tt10342460	9.1	12
tt0676647	7.5	21
tt0090748	4.8	421
tt3316988	7.3	21
tt3289176	8.5	27
tt7492556	8.2	14
tt0706335	6.1	254
tt4416694	7.9	10
tt1815582	5.1	270
tt14415276	9.3	9
tt0807689	8.6	738
tt0063618	5.3	55
tt10467460	6.8	95
tt0364166	7.6	32
tt0372934	5.0	10
tt19246066	10.0	14
tt1040025	6.4	143
tt2849410	4.3	6
tt0613998	7.5	107
tt3876848	6.8	5
tt0144735	7.2	93
tt0334594	7.5	6
tt0100470	7.5	2157
tt1024995	8.1	69
tt1808267	6.2	10
tt0267997	5.1	16
tt4109556	7.2	37
tt20852168	7.6	33
tt5910304	7.0	17
tt12759420	6.5	115
tt0674164	8.0	36
tt0760081	6.8	15
tt9050824	6.2	10
tt5193710	7.7	153
tt0101549	6.2	432
tt0232735	7.9	40
tt3669824	8.3	7
tt0638443	8.2	681
tt3320138	7.6	118
tt0206617	5.3	163
tt19396396	7.7	27
tt0911272	7.6	24
tt1238938	1.3	245
tt0485881	7.9	14
tt0209296	6.0	287
tt5500796	8.6	119
tt15441966	6.6	14
tt0183091	6.0	75
tt0271176	4.5	20
tt1310290	6.4	7
tt5838352	8.2	21
tt15662482	7.2	129
tt0667696	6.0	9
tt0182267	5.8	7
tt1324008	6.9	20
tt0084925	6.3	106
tt0882570	7.3	117
tt14742596	8.9	97
tt1105573	8.4	16
tt0192585	5.9	61
tt10955886	6.3	7
tt0101857	5.3	1600
tt1891267	6.5	13
tt0044172	6.4	37
tt1381634	7.7	6
tt4269210	6.7	202
tt13177814	7.7	6
tt1441466	5.0	37
tt0623197	7.9	121
tt0305062	6.5	166
tt7085156	8.0	26
tt0612748	7.7	31
tt22768434	8.0	6
tt9742334	8.0	4215
tt0164094	8.1	1135
tt2355823	6.3	6205
tt0359843	3.9	28
tt3071238	8.0	5
tt0098982	5.2	23
tt0328456	6.3	176
tt1772797	6.2	14
tt13190860	5.3	7
tt1340527	7.3	60
tt0338147	7.6	63
tt18184460	7.5	10
tt10939084	8.0	354
tt0364027	6.2	22
tt0433389	8.5	15
tt10671298	7.3	23
tt11438438	7.9	12
tt8071574	7.3	170
tt0976631	6.2	9
tt0457211	6.2	21
tt0758970	6.9	22
tt0696281	6.3	20
tt6978008	7.8	27
tt0842615	6.3	14
tt7019588	7.0	6
tt9054354	7.1	1276
tt23666254	8.5	7
tt11120670	3.9	255
tt3547782	6.5	179
tt15377036	5.1	44
tt0718017	6.7	10
tt0629409	7.6	263
tt13375058	7.1	48
tt14759268	9.5	27
tt0279422	6.9	37
tt1583373	5.3	96
tt0971517	7.0	75
tt0640644	7.6	34
tt0829531	6.3	14
tt0116956	4.8	239
tt7783898	7.6	179
tt12162770	5.8	16
tt14021686	8.6	77
tt15839530	7.2	377
tt7012644	6.4	9
tt3632802	7.7	364
tt1745326	5.5	6
tt6635420	6.6	42
tt5004784	6.1	47
tt0465869	6.4	293
tt3338108	6.9	9
tt0032311	6.2	81
tt1190388	7.1	22
tt0036157	4.3	25
tt0034371	4.7	32
tt3540424	7.3	41
tt0036388	3.8	12
tt22871512	6.3	31
tt1836761	6.2	141
tt9324774	6.2	10
tt3540064	6.7	7
tt3514580	7.6	24
tt3228360	6.9	470
tt1087101	7.6	25
tt0089353	6.5	62
tt2350558	8.4	10
tt1499098	6.9	29
tt7825682	8.2	10
tt10053058	5.7	15
tt9735462	6.3	2831
tt0019309	5.2	21
tt13742586	7.2	5
tt0784858	6.9	19
tt5590542	6.4	5
tt3916472	7.3	12
tt0455965	8.4	1099
tt0764977	7.2	19
tt0275969	2.4	77
tt3500666	7.1	9
tt0623120	7.7	13
tt1476251	7.0	17
tt7697944	9.2	48
tt1958692	7.3	17
tt5938588	7.5	13
tt14527836	6.7	4591
tt5940774	7.4	10
tt0344032	7.6	5
tt0105842	6.3	93
tt7050228	8.8	5
tt8251336	6.2	154
tt21452974	8.1	11
tt3199020	7.8	183
tt0526393	7.6	50
tt0797452	7.3	21
tt1030198	7.4	57
tt4743082	10.0	5
tt11672360	8.5	13
tt1337707	7.5	257
tt0494494	6.6	45
tt0095217	6.9	1896
tt0406402	7.9	30
tt5479232	6.8	17
tt1680243	7.9	112
tt8424608	6.2	6
tt2479136	7.7	52
tt0734437	8.3	49
tt0107679	5.8	18
tt4396044	7.5	200
tt7507100	7.2	17
tt0940676	7.2	203
tt4651680	8.0	25
tt4089276	6.7	819
tt11038702	8.4	30
tt0258959	6.8	14
tt9103964	8.0	393
tt2133490	8.6	7
tt0228495	9.1	101
tt6218164	7.5	85
tt9109148	7.2	42
tt0591797	7.1	9
tt11764012	7.3	28
tt2348324	7.8	18
tt0322270	5.7	17
tt9377978	3.5	19
tt0816577	6.6	477
tt1584723	6.5	16
tt1067851	6.1	208
tt0352187	5.2	6
tt3184402	6.5	8
tt9471584	8.0	28
tt0233538	6.5	10
tt2100968	7.2	23
tt18454132	3.7	83
tt9089712	7.8	179
tt8098454	9.5	7
tt5736346	6.6	9
tt0075295	6.7	60
tt11344322	7.0	36
tt7156054	6.6	10
tt0242950	8.7	62
tt1924468	6.0	11
tt2808284	6.8	54
tt0566478	7.3	82
tt20750752	7.1	27
tt1475144	6.1	19
tt23713066	6.9	33
tt0050964	5.9	286
tt2663632	5.4	222
tt6096296	4.6	129
tt0814197	6.9	288
tt1720345	6.9	13
tt1974313	6.9	8
tt4057284	9.2	6
tt2209636	7.4	60
tt2256544	8.1	17
tt9279362	6.7	713
tt0371500	7.3	64
tt0451022	7.4	14
tt15402938	7.8	6
tt10169272	6.9	38
tt0288707	6.0	9
tt0738961	8.8	19
tt5851692	6.9	1183
tt2827506	6.3	31
